ransom_group_no,categories
18,"Personal Identity, Legal Data, Financial Data, Government IDs"
233,"Internal Data, Company Information, Public Data, Intellectual Property, Financial Data, Legal Data, Customer Data, Authentication Data, Regulatory Data"
65,"Internal Data, Financial Data, Intellectual Property"
12,"Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
102,"Personal Identity, Contact Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
276,"Internal Data, Financial Data, Company Information, Public Data, Customer Data, Legal Data, Intellectual Property, Authentication Data, Contact Information, Personal Identity"
20,"unpack/sales/Chester ISD/Video Surveillance Replacement/Estimate/Vendor Quotes  Pricing/Formal Quote_Q0009BPC (1).pdf - Company Information, Public Data, Internal Data, Customer Data, Financial Data
unpack/sales/CC Creations/DWGs and Plans/Bid Drawings/Electrical/E3.01B-LIGHTING-PLAN-FIRST-FLOOR-B-Rev.0 (1).pdf - Company Information, Internal Data, Intellectual Property
"
57,"unpack/TestServer/Admin_Desktop/HUB OnLine As On 22-March-2023 V2.0/HUB OnLine As On 22-March-2023 V2.0/HUB OnLine V10/ProductionAccountAudit.aspx - Internal Data, Customer Data, Legal Data, Financial Data, Regulatory Data
unpack/TestServer/Admin_Desktop/SEC As On 14-Feb-2023 V3.0/SecondaryV10/rptDemoLoadingChart.rpt -"
154,"2023-12-20 12:06:41 ....A        96107               21. olea.com/Travellers/3-Shipped/2021/PAR221206- Austin 3.0-22-P, Desk top - Partech - 1/Contract/PACKING SLIP 303847.pdf
Internal Data, Customer Data, Legal Data, Financial Data

2023-12-24 07:56:45 D....            0"
220,"Internal Data, Financial Data, Legal Data, Intellectual Property"
166,"DOC/doc/265???.doc - Public Data, Internal Data
DOC/doc/?????????.doc - Public Data, Internal Data
PDF/2-pack/20200916????[2020]342? ??????????????????????????????.pdf - Public Data, Internal Data
PDF/1-pack/????2023???????????????????(3).pdf - Public Data, Internal Data
PDF/1-pack/????12.pdf - Public Data, Internal Data
X"
33,"Contact Information, Company Information, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Intellectual Property"
265,"Public Data, Internal Data, Public Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data,"
268,"gpaa.gov.za4/Userdata/DEV118/CDR/CDR 8.2 Old/CDR_ERD/CDR_ERD8v2/logical/entity/seg_0/DE0764BC-6799-62B2-FAF5-809DE652C225.xml - Internal Data, Regulatory Data
gpaa.gov.za4/Business/PR1/MilMed/COIDLink/Data_from_COIDLink/Statements/2020"
34,"bfusa.com/bfrc-dfs/Common/1 BSRO Marketing/Budget/2021/Digital Budgets/CC 202354/Invoices/November/NVISION.pdf - Financial Data, Internal Data
bfusa.com/bfrc-dfs/Common/1 BSRO Marketing/Daily Category & Service Reports/Category Sales Report October 10 2021 vs October 11 2020.xlsx - Internal Data, Company Information
bfusa.com/bfrc-dfs/Common/1"
262,"Contact Information, Company Information, Financial Data, Government IDs, Intellectual Property"
250,"Personal Identity, Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
159,"Finance, Personal Identity, Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property, Documents, Pictures, Student, Summary, Development, Detail, Banks, Bank Statements, Personal Pictures, Facebook, MobileUploads, Transcripts, Adjunct Faculty, Current, Davis, Deanna, Old Student Files, Prior Students' Finance Records, Henderson, Leroy, Misc - Old"
271,"ClientShares/Data/REVIT Library/_Manufacturer Families/Plumbing Fixtures/Sinks/American Standard/Aqualyn 8 inch Widespread Less Overflow Drop-In - 0475.920.rfa - Company Information, Internal Data, Intellectual Property
ClientShares/Client/327 Residential/3270823 Adam Jones/Drawings/Working Drawings/2023.05.24/ADAM JONES GARAGE EXTERIOR PERSPECTIVE 01.pdf - Company Information,"
50,"unpack/ICT/APPZ/sage/OLD X3 SERVER/Sage/X3CORE/backup live v6/EIF/ECR/ABC1.msk - Internal Data, Authentication Data
unpack/EIF/TMP/M1500000485.tra - Internal Data
unpack/EIF/ECR/FIL/RITENZIONE.srf - Internal Data
unpack/EIF/TRT/W1WH2STD8.adx - Internal Data
unpack/EIF/ECR"
27,"unpack/Herb/HP ProBook 4720s/swsetup/sp48755/setup.inx, Internal Data
unpack/KFC AUSTRALIA/13. JOBS/Complete Jobs/14-6B BILL JUNE 2014 PART B (P8 & P8B)/J807_9 FOR $9.95 P9/Creative/V1 SEnt 2.6.14, Company Information, Customer Data
unpack/Herb/HP ProBook "
7,"USER_LOGIN_HISTORY, TEMP_USERS, USER_APP_SETTINGS, NODE_BALANCE_HISTORY, CUSTOMER_LEDGER, ADMIN_USER_LOGIN_TRY, CHK_UPDATE_CUSTOMER_LEDGER, ADMIN_USER_LOGIN_HISTORY, USERS"
15,"Internal Data, Company Information, Financial Data, Legal Data, Public Data, Customer Data, Authentication Data, Intellectual Property"
62,"Contact Information, Company Information, Internal Data, Customer Data, Financial Data, Health Data, Intellectual Property"
11,"unpack/Product Development/ECR-Engineering Change Requests - In Progress/0163 ECR Roto-Rooter Build Up Label Change.xlsx, Company Information, Internal Data
unpack/Archived Files/Rob & Ryan's Shared Files/SALES & MDF REPORTS/2007 REPORTS/11 NOVEMBER 2007, Company Information, Internal Data
unpack/Archived Files/1A Sales Reports & IRI/Current IRI Reports/Pre-2017 Items"
66,"1. Company Information, Internal Data, Customer Data, Financial Data
2. Contact Information, Public Data
3. Company Information, Internal Data, Customer Data, Financial Data
4. Internal Data, Customer Data, Legal Data, Regulatory Data
5. Internal Data, Customer Data, Legal Data, Regulatory Data
6. Financial Data
7. Customer Data, Intellectual Property
8. Contact Information, Public Data
9. Intellectual Property
10. Internal Data
11. Customer Data"
54,"unpack/CF_DATA/Inside Page, unpack/7218/Covers_Jpg_600px/ECH0582.jpg, unpack/7218/Covers_Jpg_900px/UE019690.jpg, unpack/CF_DATA/inside600, unpack/71818/Desktop Folder/CF_DATA/webprod/FreeHand_BandOrch_Folder/2007BandfsPartsFolder/2007Bands%3AParts/FPS60 parts pdf, unpack/CF_DATA/CF &"
23,"Contact Information, Company Information, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Government IDs, Intellectual Property"
29,"acdc express/Andrew P/Franchising reports/User Data/AutofillStates/2020.11.2.164946/SJ (1): Internal Data, Customer Data
acdc express/Irene Koekemoer/Irene Koekemoer- One-Drive Backup/ACDC Dynamics (Pty) Ltd/2021/Suppliers/Electrobox/SKM_458e20081213050 (1) (1) (1).pdf: Company"
101,"Personal Identity, Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
9,"Contact Information, Internal Data, Customer Data, Financial Data, Health Data, Intellectual Property"
229,"Contact Information, Company Information, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Government IDs, Intellectual Property"
157,"IT Salary Info, ODCC Phone Messages, Zoom, ___ITCO, Garmin, Dropbox, July 10th 2020, MAILBOX - MICHELLE LOSIER.PST, April EI APP JUNE 19 2020 Confirmation and Information - Application for Employment Insurance benefits online.pdf, Ltr to Henry MacAulay re Market Adjustment-April 12.doc, Medcal Cannabis  Health Canada.pdf, Agenda.pdf, invoice pdfs, Visual Studio 2019, old"
288,"Contact Information, Company Information, Internal Data, Customer Data, Legal Data, Health Data, Intellectual Property"
30,"pkf.com.au/PKFMFS01/PKFMack Data(E)/Client Data/I68200a/2020/31 December 2019/PBC/bank/Bank Sta 2/December 5.pdf - Financial Data, Legal Data
pkf.com.au/PKFMFS01/PKFMack Data(E)/Client Data/No Longer Clients/NLC/Audit/C40000A/2018/Caseware/General 4 - Dec 18.pdf - Internal"
165,"dev/AcctRpts/APR_2014/INC_INTERNET227_MONTH.pdf - Financial Data
dev/OneNote/BIG_media_archive/content/PLT/Chinawire/2005/01/05 - Public Data
dev/Assembly/Web Group/cms_images/asbshow_logo.png - Company Information
dev/AcctRpts/FEB_2015/dept_exp242DEP01.pdf - Financial Data
dev/BNPShows/DesignProd/"
261,"Contact Information, Public Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data, Internal Data,"
150,"Data/all2/IT/Misc/CWFiles, Data/all/MedMal/!OMIC File Transfer/Kraus, William/PES to JS_  OMIC Reporting Spreadsheet = Send Kraus Update ASAP.msg, Data/docs/DSchwank/Pointer Doc Production/Medical Records/Access Healthcare Managment/Elite Medical Wellness/S. Welch, PLPC/02-03-2022 to 05-25-22.pdf, Data/all/Omega/DailyReport/Daily Cash"
259,"Contact Information, Company Information, Public Data, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Intellectual Property"
24,"Contact Information, Company Information, Internal Data, Financial Data, Legal Data, Intellectual Property"
53,"Contact Information, Company Information, Internal Data, Public Data, Intellectual Property, Government IDs, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data"
278,"Contact Information, Company Information, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Intellectual Property"
59,"unpack/Clients/LOGISTIQUE/1.Clients 2016/EXTRA IMPORT/5.Facturation/Pré-facturation YONASFOOD 2016.xls, Financial Data
unpack/Clients/LOGISTIQUE/Archives Dossier LOGISTIQUE/Dossier LOGISTIQUE Archive/11.Autres/ACCESSCARGO/Factures/Manutention, Financial Data
unpack/Clients/LOGISTIQUE/Archives Dossier LOGISTIQUE"
272,"Personal Identity, Public Data, Internal Data, Government IDs, Intellectual Property
Financial Data
Government IDs
Public Data, Internal Data, Intellectual Property
Financial Data
Internal Data
Public Data
Intellectual Property
Health Data
Internal Data
Intellectual Property
Internal Data
Internal Data
Internal Data
Internal Data
Internal Data
Internal Data
Internal Data
Internal Data
Internal Data
Internal Data
Internal Data
Internal Data
Internal Data
Internal Data
Internal Data
Internal"
61,"Contact Information, Public Data, Health Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data, Public Data,"
16,"Contact Information, Company Information, Internal Data, Authentication Data, Legal Data, Financial Data, Health Data, Government IDs, Intellectual Property"
26,"Contact Information, Company Information, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Government IDs, Intellectual Property"
51,"Contact Information, Company Information, Public Data, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
270,"Internal Data, Financial Data, Company Information, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data,"
104,"unpack/Archenfield/Company/Value Blinds Ltd/Invoice.pdf - Company Information, Financial Data
unpack/County/AccountsNew folder (2)/Accounts/Plum Premier/20180403 - various unrec - nil.pdf - Company Information, Financial Data
unpack/County/HR/Completed Contracts Sent/Letter issuing S.O.T/Jayne Darbey letter issuing statement of terms.doc - Company Information, Legal Data
unpack/County/AccountsNew folder (2)/Accounts"
6,"Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
63,"Contact Information, Company Information, Public Data, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
263,"Personal Identity, Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
269,"Documents/22/Navis Works/Autodesk_Navisworks_Freedom_2021_Multilingual_Win_64bit_dlm/de-DE/Installation_Guide/html/scripts/desk/main/controllers - Internal Data, Intellectual Property
Documents/22/Navis Works/Autodesk_Navisworks_Freedom_2021_Multilingual_Win_64bit_dlm/de-DE/Installation_Guide/html/scripts/mobile/navigation/views/adsk.navigation.view.js - Internal Data,"
287,"Contact Information, Company Information, Internal Data, Public Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Intellectual Property"
35,"Personal Identity, Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
251,"Tract_Books, Installs, Applications, ScanDocs, Cals Viewer, PolyView Configuration, Users, KatieM, deed.pdf, NPCdocs, BILL, 11Q5656.pdf, Users, AaronL, Second Step PDF - Final.PDF, Records, Estate, Probate, Allen, Ralph, final letter w check.wpd, PerfectLaw, Client, Fonts, PrecisionID MICR BW.ttf, Records, Governmental Entities, ALTAMONT, Altamont"
158,"DOC/DADLINCdatadocuments/Corp_Accounting/2024/Budget 2024/OpEx/Proc P9 2023 - Snapshot.xlsx - Company Information, Financial Data
DOC/DADLINCdatadocuments/Corp_Public/DSO/7 - DSO Reporting/Rebate Report Out/2023 - Company Information, Financial Data
DOC/DADLINCdatadocuments/Corp_Accounting/Finance/Commercial Performance/2022 AR"
155,"source, company information"
167,"BHMShared/Warranty, BHMShared/Engineering, Accounting/BORROWING BASE, Accounting/2022 AUDIT AND TAX, BHMShared/SKIRTING, BHM Shared/SKIRTING, Marketing/Waymark, Accounting/PAYROLL REC, COMP OPER REC, Company Shared Folders/Accounting, BHM Shared/Customer Service, Accounting/draft INCSTMT, Marketing/PRODUCTION, Marketing/Pictures_Videos_2014, Marketing/Marketing,"
264,"Personal Identity, Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
32,"AP EFT/Previous Years/ACH 2013/SM070113-freight-01-ACH.fil, Internal Data, Financial Data
AP EFT/Previous Years/ACH 2013/EFTPayments COINS CONTROLS 20130724-0001, Internal Data, Financial Data
AP EFT/Previous Years/ACH 2016/November2016/EFTPayments COINS CONTROLS 20161123-0001, Internal Data, Financial Data
AP"
13,"unpack/data, unpack/data 3, unpack/data/Cadastromedico, unpack/data/Qualidade, unpack/data/NEP, unpack/data/Ouvidoria, unpack/data/Notas Fiscais UABV, unpack/data/Contas M\xe9dicas, unpack/data/Aturiza\xe7\xe3o AutoImune, unpack/data/Real Lab Luciana, unpack/data/Relacionamento_Medico, unpack/data/Compras_Con"
64,"Contact Information, Company Information, Financial Data, Government IDs, Intellectual Property, Legal Data, Public Data"
19,"bfusa.com/bfrc-dfs/Common/1 BSRO Marketing/1 PRICING TEAM/Tires
bfusa.com/bfrc-dfs/Common/2022 National Leadership Conference
bfusa.com/workspace/FSIP/na-chq-law/Shared/CorpSec/5 Security Incident Reporting
bfusa.com/bfrc-dfs/Common/1 BSRO Marketing/Brand/Web Repair Content Refresh Assets/Brakes
bfusa.com/bfrc-dfs/Common/1 BS"
232,"Contact Information, Company Information, Public Data, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
103,"Contact Information, Company Information, Public Data, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Intellectual Property"
56,"RA-Micro/RA/ea/z/23/01/23/230003700049-00-23~~Z~02.pdf - Internal Data, Legal Data
RA-Micro/RA/AR/20/07/17/170008400198-00-20~~V~05.pdf - Internal Data, Legal Data
RA-Micro/RA/AR/21/07/28/280040500492-00-21~~V~06.pdf.v#1"
21,"Internal Data, Customer Data, Legal Data, Financial Data, Health Data"
277,"Personal Identity, Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
5,"Internal Data, Financial Data, Company Information, Intellectual Property, Authentication Data, Legal Data, Customer Data, Public Data, Health Data, Regulatory Data, Government IDs"
58,"Contact Information, Company Information, Internal Data, Customer Data, Financial Data, Intellectual Property"
52,"unpack/cuentas de cobro/ADUANA/ADUANA/2016/RESERVAS/inverpalmas 04-13.xls - Financial Data
unpack/cuentas de cobro/ADUANA/ADUANA/ADUANA/ADUANA/Documentos/FORMATO PARA CI16-10-19.doc - Company Information
unpack/cuentas de cobro/ADUANA/ADUANA/DOCUMENTOS ACTUALIZADOS PARA"
25,"Contact Information, Company Information, Public Data, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
236,"ACR/JCMB Invoices, ACR/BL Invoices, ACR/Payments, ACR/Bank Statements, ACR/ACR - Certificate of Fleet Insurance, ACR/IDGS 16.17-0154 Taxi, ACR/IDGS 16.17-0155 Taxi, ACR/Ince GDH Inv 16.17-0131, ACR/Ince GDH Inv 16.17-0141 Revised,"
17,"Contact Information, Company Information, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data, Financial Data,"
60,"unpack/80???????????????/????????
Internal Data, Intellectual Property

unpack/???/1.??????/b.???????????/?71?????/?71???????????/?71????????????.xls
Internal Data, Intellectual Property, Financial Data

unpack/??????/??/00. ??????/02. HP??/??/TQC?TPM??.docx
Internal Data, Intellectual Property, Regulatory Data

unpack/???/"
163,"CTX-B-01, CTX-B-02, CTX-A-01, CTX-A-02, DC01, CTXP-03, EX01, MOVEIT, SQL01"
169,"Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
36,"Internal Data, Legal Data, Financial Data, Regulatory Data, Intellectual Property"
260,"unpack/DST files/JAMS/OS/Windows/System32/catroot/{F750E6C3-38EE-11D1-85E5-00C04FC295EE}/Package_274_for_KB4462923~31bf3856ad364e35~amd64~~6.1.1.4.cat - Internal Data, Regulatory Data
unpack/DST files/JAMS/OS/Windows/SoftwareDistribution/Download/9da9aea2268"
258,"Contact Information, Company Information, Financial Data, Health Data, Intellectual Property"
252,"Personal Identity, Contact Information, Company Information, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Government IDs, Intellectual Property"
156,"Personal Identity, Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
31,"Public Data, Internal Data, Legal Data, Financial Data, Intellectual Property"
267,"Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
164,"Personal Identity, Company Information, Financial Data, Government IDs"
67,"Contact Information, Company Information, Public Data, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
28,"Contact Information, Company Information, Internal Data, Customer Data, Legal Data, Health Data, Government IDs"
274,"Contact Information, Company Information, Public Data, Internal Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
22,"unpack/Cataloghi/DISEGNI CARRO/DISEGNI/FT2280.pdf - Internal Data, Intellectual Property
unpack/Cataloghi/Cataloghi GB/Catalogo SERIE M-TM 2004/2 - guida rapida inglese/14.TIF - Company Information, Public Data
unpack/Cataloghi/DISEGNI CARRO/DISEGNI/CR5366.xls - Internal Data, Intellectual Property
unpack/Cataloghi/EUROR"
55,"Contact Information, Company Information, Financial Data"
290,"Personal Identity, Contact Information, Company Information, Public Data, Internal Data, Authentication Data, Customer Data, Legal Data, Financial Data, Health Data, Regulatory Data, Government IDs, Intellectual Property"
100,"Contact Information, Company Information, Financial Data, Health Data, Legal Data, Intellectual Property"
